"observing","describing","accepting","acting","age","bsex"
3.9,3.4,5,4.3,20,"female"
3.5,2.8,3.4,3.5,43,"female"
3,3.6,3.1,3.2,21,"male"
3.1,3.1,2.1,4,37,"male"
3,3.1,3.4,3.2,23,"female"
3.2,3,2.8,3.6,21,"female"
3.9,3.3,3.4,3.2,22,"male"
5,3.5,2.3,3,24,"male"
3.7,3.5,5,3.1,68,"female"
3.4,2.6,2.9,2.9,25,"male"
3.4,2.5,5,3.4,30,"male"
3.5,3.8,3.6,3.2,19,"female"
2.5,2.8,2.2,3.4,30,"male"
4.5,3.5,3.2,3.3,18,"female"
4.3,3.1,3.1,3.2,60,"male"
3.1,2.9,4.1,2.9,36,"male"
3.1,2.4,3.4,2.8,16,"male"
3.1,3.4,3,3.1,40,"female"
3.2,3.3,2.2,3.3,33,"female"
3,3,2.4,2.5,51,"female"
3.4,2.8,2.7,3.3,20,"male"
3.4,2.6,2.1,2.1,75,"female"
4.2,2.1,2.6,2.9,24,"female"
3.4,3.1,3.1,2.9,66,"female"
3.8,3.5,3,3.3,57,"female"
4,3.5,3.1,3.3,51,"male"
3.1,3.5,4.6,3.5,27,"male"
3.3,2.6,2.7,3.2,64,"male"
4.4,3.5,2.8,3.7,50,"female"
4.4,3.3,1.8,3,29,"male"
